a	silp a1
chay	c ă1 j1
che	c ɛ1
chen	c ɛ1 n1
cheo	c eo1
chi	c i1
chia	c iə1
chim	c i1 m1
chinh	c i1 ɲ1
chiu	c i1 w1
chiêm	c iə1 m1
chiên	c iə1 n1
chiêng	c iə1 ŋ1
chiêu	c iə1 w1
chiếc	c iə5 k5
chiếm	c iə5 m5
chiến	c iə5 n5
chiết	c iə5 t5
chiếu	c iə5 w5
chiều	c iə2 w2
chiểu	c iə4 w4
cho	c ɔ1
choang	cw ʷa1 ŋ1
choi	c ɔ1 j1
chon	c ɔ1 n1
choàng	cw ʷa2 ŋ2
choán	cw ʷa5 n5
choáng	cw ʷa5 ŋ5
chu	c u1
chua	c uə1
chui	c u1 j1
chun	c u1 n1
chung	c u1 ŋ͡m1
chuyên	cw ʷiə1 n1
chuyến	cw ʷiə5 n5
chuyền	cw ʷiə2 n2
chuyển	cw ʷiə4 n4
chuyện	cw ʷiə6 n6
chuông	c uə1 ŋ1
chuẩn	cw ʷɤ̆4 n4
chuốc	c uə5 k5
chuối	c uə5 j5
chuốt	c uə5 t5
chuồn	c uə2 n2
chuồng	c uə2 ŋ2
chuỗi	c uə3 j3
chuộc	c uə6 k6
chuộng	c uə6 ŋ6
chuột	c uə6 t6
chà	c a2
chài	c a2 j2
chàm	c a2 m2
chàng	c a2 ŋ2
chành	c ɛ2 ɲ2
chào	c a2 w2
chác	c a5 k5
chán	c a5 n5
chánh	c ɛ5 ɲ5
cháo	c a5 w5
chát	c a5 t5
cháu	c ă5 w5
cháy	c ă5 j5
châm	c ɤ̆1 m1
chân	c ɤ̆1 n1
châu	c ɤ̆1 w1
chãi	c a3 j3
chè	c ɛ2
chèn	c ɛ2 n2
chèo	c eo2
chém	c ɛ5 m5
chén	c ɛ5 n5
chéo	c eo5
chép	c ɛ5 p5
chét	c ɛ5 t5
chê	c e1
chênh	c e1 ɲ1
chì	c i2
chìa	c iə2
chìm	c i2 m2
chình	c i2 ɲ2
chí	c i5
chích	c i5 tʃ5
chím	c i5 m5
chín	c i5 n5
chính	c i5 ɲ5
chít	c i5 t5
chòi	c ɔ2 j2
chòm	c ɔ2 m2
chó	c ɔ5
chóc	c ɔ5 k͡p5
chói	c ɔ5 j5
chóng	c ɔ5 ŋ͡m5
chót	c ɔ5 t5
chôm	c o1 m1
chôn	c o1 n1
chông	c o1 ŋ͡m1
chùa	c uə2
chùi	c u2 j2
chùm	c u2 m2
chùng	c u2 ŋ͡m2
chú	c u5
chúa	c uə5
chúc	c u5 k͡p5
chúm	c u5 m5
chúng	c u5 ŋ͡m5
chút	c u5 t5
chăm	c ă1 m1
chăn	c ă1 n1
chăng	c ă1 ŋ1
chĩa	c iə3
chơ	c ɤ1
